crop_type,LD_20,LD_21,LD_22,LD_23,LD_24,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
ACOF,36204219.61259948,36194510.70834443,36119028.88646297,36679472.90059229,36906854.56276078,3320612.3682635734,3320612.3682635734,3320612.3682635734,3320612.3682635734,3320612.3682635734,10.902874409135421,10.899950579679192,10.877219283908909,11.045996591216955,11.114472413430251
BANA,31790959.368655402,32565525.223878887,33466517.207387105,34595915.30114582,35225223.68,43465034.91,45229505.14713495,45809927.74423518,46976985.946489796,46570036.85091347,0.7314145596607318,0.7200062242100771,0.7305516261504823,0.7364439119306864,0.7563924373705355
BARL,2380524.0336626177,2379997.8456032025,2353008.2490368807,2319986.139,2275913.3924845364,5224258.743765422,5327238.486778156,5386819.167305464,4931224.855532888,5108630.102787691,0.45566733012669236,0.4467601462765738,0.4368084719305469,0.470468536,0.445503657
BEAN,49465390.28669775,51583026.90746454,53039666.73749103,55050727.087850556,56902696.92987213,5634410.865914437,5915546.1,5824531.341576781,6066514.870810007,5992070.847894921,8.779159252645266,8.719909545659007,9.106254843008958,9.074522730132223,9.496332465738897
CASS,93645650.14174503,96648832.50164185,99403400.17813665,102585191.43994083,104996603.92170286,85833281.92933539,88833343.52979578,89046068.39661178,90087403.79591493,89779326.30802023,1.091017936595287,1.087979227858565,1.116314307504215,1.1387295794686072,1.1694964558040266
CHIC,2051048.6105189184,2160187.169271916,2238991.688724282,2433063.5922278645,2494080.035122885,475317.3507658313,506280.28225209226,532326.1173752132,486204.7468,505240.6948474347,4.315114117366574,4.266781158576295,4.206052673,5.004195471873082,4.936419533418643
CNUT,62726460.76208906,60475078.41655143,58949707.88999257,58048893.67335513,56777275.41756815,29457305.563651826,30975812.692559738,31155500.352783423,31221881.297825325,31171115.544727493,2.1294025221196384,1.9523322605536448,1.8921123789535297,1.859237536637434,1.821470756672097
COCO,103769031.15444323,104804300.42051776,105842442.21107757,108127829.53046465,109269008.78680602,4254667.664354537,4348438.827180048,4153813.539021883,4133271.9813365834,4158430.1442254055,24.38945631965963,24.10159245323524,25.480788007639063,26.160347061288515,26.27650459357654
COTT,23487394.13160451,23924910.461879134,24731043.953657232,24939804.47691116,24937235.20826726,8870604.162,9334161.492480896,8935534.629162349,9921956.484,9570819.128,2.647778404151095,2.563155831528281,2.7677184387987332,2.513597446,2.605548686454093
COWP,10014789.258112496,10499194.882857632,10818569.349917656,11243979.677742116,11720140.620806968,579686.2080701657,607308.7802931041,585848.8511158342,584071.8778139479,588605.0740883464,17.276224824207475,17.288066999114402,18.466485560758752,19.251020473414762,19.911722030190717
GROU,22904210.243750725,23779285.17555227,24414389.52,25371466.245495223,26262433.920070793,5496262.790699581,5697142.954453756,5810468.514182675,5750241.897309253,5751471.840044446,4.167233466803615,4.173896524215309,4.201793617998002,4.412243293167798,4.5662109891974785
LENT,341071.26148673566,342294.57074054424,341063.2758728212,347671.2253850068,349591.25567182055,127763.15178453775,137426.23741402628,140325.35668480935,158458.6342961958,152306.11585948223,2.6695589199452816,2.490751236310922,2.4305177904439446,2.194081925,2.295319880616966
MAIZ,194284825.7,196061226.0407855,198442951.41962388,202888824.57418004,205225648.83527184,160183396.52996075,156858118.64474577,167462407.35892683,175956076.0828408,172481685.9894506,1.2128899116587648,1.2499271809119896,1.1849999922328573,1.1530651801911018,1.1898402294596304
OCER,7796127.076550948,7678873.621277981,7539083.748,7517124.278371464,7420845.333,3246015.691491842,3246015.691491842,3246015.691491842,3246015.691491842,3246015.691491842,2.401752738591326,2.3656304685787997,2.3225654045769786,2.3158003512042966,2.2861396982561786
OFIB,8730357.329520905,8376057.2998246625,8006808.956046566,7681647.055674754,7372449.788466857,644767.4402543632,644767.4402543632,644767.4402543632,644767.4402543632,644767.4402543632,13.540319787358905,12.99081928907619,12.418134750861256,11.913825941093295,11.434277428088485
OILP,369565273.3011055,358244917.2108855,347527481.5559397,343039353.13624763,336114616.4645803,304288546.1021333,322214916.9865442,315604154.30549306,317016168.70251983,317856122.66476536,1.2145224591433104,1.1118197771887945,1.101149896,1.0820878775370832,1.0574426367714542
OOIL,32111844.53063896,31702423.45471427,30983990.242919497,30598442.22968745,30097833.286406726,2874893.648542904,2874893.648542904,2874893.648542904,2874893.648542904,2874893.648542904,11.16975041734652,11.02733781849014,10.777438761473233,10.643330143776208,10.469198852507589
OPUL,23487101.247458916,23458916.781968098,23279102.484109495,23224150.63,23280768.35418552,1845393.6374413783,1845393.6374413783,1845393.6374413783,1845393.6374413783,1845393.6374413783,12.727420736111116,12.712147861576934,12.614708326612506,12.584930476026933,12.615611044624657
ORTS,11320480.22904225,11962958.89966536,12535454.889507677,13564292.001553774,14237098.139103374,5926199.064741848,5926199.064741848,5926199.064741848,5926199.064741848,5926199.064741848,1.9102429913962709,2.0186562700600876,2.1152605156461677,2.2888687763215816,2.402399579151423
PIGE,1201571.0091713432,1199648.078886032,1197726.1453836025,1240419.777,1264128.6684517483,321720.2117771538,300561.02095860697,272671.4724460957,340045.4612751067,316969.5093178619,3.7348322088126573,3.991362802,4.3925612556347655,3.6478057140824305,3.988171200353724
PLNT,18921603.628300317,18882005.318315573,19001789.806654684,19196087.34517183,19543670.823392022,17487840.11439289,17475786.706665136,18052171.79713388,17943348.550909884,17924219.16813139,1.0819863118903634,1.0804666842903339,1.0526040866546358,1.0698163328158958,1.0903499137156256
PMIL,9387924.105455687,9982177.74,10548241.036480283,11191433.912757548,11670214.298615772,988801.0419809474,944483.3000889677,953047.3033014996,995652.7838421714,976255.8499767575,9.494249810505941,10.56892984684797,11.067909221231293,11.240297917483238,11.954053129508637
POTA,9726206.929,9873027.821868606,9987340.901131619,10320003.400274616,10523497.408258857,25125074.414705608,25640307.99513866,25493415.49257014,26038429.07486697,25832355.189145606,0.3871115670413477,0.38505886215331375,0.391761587,0.3963374046338216,0.4073766147610375
RAPE,3717232.404,3722004.4940234856,3692072.3389344886,3671071.180898581,3623168.4043965973,3653137.1605660147,3574306.6720026783,4330142.088439289,4646462.773462854,4396226.296205776,1.0175452605598758,1.041322090009152,0.8526446161643673,0.790078681,0.8241542086956768
RCOF,40279045.24482883,40745043.866880745,40962056.490593985,41802462.278711766,42291585.75330453,2592716.328842124,2557553.7445769077,2591024.5706292293,2640567.5062984363,2610118.6054045814,15.535461707381218,15.931256167451972,15.809211905947448,15.83086294101631,16.202936397501034
REST,909116696.2829285,890140179.4554882,870226160.1122878,866342342.3296279,855863677.8,78285022.00087786,78285022.00087786,78285022.00087786,78285022.00087786,78285022.00087786,11.612907208134066,11.370504302157654,11.116125893182089,11.066514643374733,10.932661905825992
RICE,131719115.62822011,131040019.88056535,130290605.0303101,131106116.81057538,131846610.63052142,119290145.4182535,121742562.45248656,120300491.7322605,121473810.36880541,120903803.2238267,1.1041910894348257,1.0763698187452508,1.0830429963684893,1.0792953346283074,1.0905083803396698
SESA,36834807.29048751,39264266.50123671,41169381.65825172,43584181.81272727,46072027.52984202,1609342.1632942744,1922994.425490039,1628854.1674589186,2124476.7520535183,1974386.1856316961,22.888114243578745,20.418294499855843,25.27505683487779,20.515254765955344,23.33486116602942
SMIL,1438482.392,1439471.107704235,1455218.3217718976,1492521.8009161344,1506641.2680796974,570633.5406998805,570633.5406998805,570633.5406998805,570633.5406998805,570633.5406998805,2.520851455875824,2.5225841192908636,2.5501801383547775,2.615552179224447,2.640295672476255
SORG,14555646.130044825,14644807.972561015,14833467.507230006,15175726.294805627,15298633.20484016,6154617.094190652,6660156.288305107,6706741.815129257,7040460.8221626775,6931278.298166766,2.3649962145953665,2.1988685157849144,2.2117248458511183,2.1555018454238017,2.2071878442518247
SOYB,163097413.13527533,166356581.23756427,171208316.7509219,175840874.3137542,176387767.08925685,95647947.42,102029527.26025914,91383941.99945351,106511044.58510177,102056369.20504391,1.7051846645476239,1.6304748802101012,1.8735054869043157,1.650916813356931,1.728336687491517
SUGB,118111.0556759505,112049.56966110041,105836.15917119128,101535.11249806602,97466.12870428555,7109180.014129758,7691455.426929395,7118227.517605577,7426379.661,7416388.062435546,0.016613878877901587,0.014568058116646094,0.014868330481067898,0.013672222151232557,0.013141994173411366
SUGC,48279662.11,49287582.49630155,50179768.51888246,51493979.54236162,52057809.85622232,581305123.9525211,559870483.2193147,581395745.6114465,598828661.4414376,590461277.1586719,0.083053908,0.088033901,0.086309143,0.085991174,0.088164647
SUNF,9854026.516,9853517.082459927,9862574.777149342,10073994.705144545,10104622.864546701,2541922.2623504545,2739239.774848701,2861602.015230594,3192525.958944018,3040293.934989354,3.8766041989100084,3.597172169057079,3.446522166484634,3.155493435197216,3.3235677472685166
SWPO,7289345.623,7465674.8309971215,7638694.525008476,7906632.675557482,8154794.764277261,12750040.086824767,13027947.90918096,12950015.569655811,13376592.249024112,13194431.523176482,0.5717115846834186,0.5730507124407495,0.58985987189909606,0.5910797405171941,0.6180482084395282
TEAS,12039264.782564769,12303432.408116795,12542499.708430456,12790476.670743026,12917243.964492256,6259727.843803885,6509100.947984055,6515486.429985141,6720769.577,6607095.760023503,1.923288852642641,1.8901892145223702,1.9250289050880671,1.9031267958233078,1.9550562658178132
TEMF,12559772.735688653,12500692.560721045,12467693.541187888,12490992.852929533,12556305.966567222,27174918.785177924,27174918.785177924,27174918.785177924,27174918.785177924,27174918.785177924,0.46218253069956394,0.4600084607259002,0.45879414175059724,0.4596515246898373,0.4620549583175143
TOBA,6872058.34,6974830.384342063,7018986.718461933,7200425.380403814,7298133.071190327,1368363.555109684,1397838.4879733918,1351051.373584464,1449751.6610204994,1417096.1399795085,5.022099802422775,4.989725525768204,5.1952034213472675,4.966661238611956,5.1500620637466845
TROF,80862537.43357374,81828716.15,83146769.56415848,85306247.02464841,86978583.66812229,54861932.13293413,54861932.13293413,54861932.13293413,54861932.13293413,54861932.13293413,1.4739279914101167,1.4915390867857434,1.5155640046123111,1.5549260426691804,1.5854086847938087
VEGE,50701661.49,50999366.04567835,51236682.63602246,52397054.17107695,53413019.25482428,86299383.47171862,86299383.47171862,86299383.47171862,86299383.47171862,86299383.47171862,0.587508965,0.5909586371771876,0.5937085593759005,0.6071544437886757,0.6189270085843473
WHEA,12995246.027284876,13062512.861060139,13041535.407998122,12935408.115351796,12751723.48914508,31987145.649055764,34079508.74307026,36258138.992776744,34129638.20637927,34607141.38449345,0.40626463423342324,0.38329522175745195,0.3596857359556216,0.37900806440233525,0.36847086985516786
YAMS,15640574.113713164,16390398.555972047,17320140.49254931,17825204.219549775,18667282.30058365,26780841.241159953,28295042.806285698,28900814.31336365,29013092.609934095,28822200.905625157,0.5840210161014242,0.5792674945991227,0.5992959334900307,0.6143848385692747,0.6476702581356444
